step,monitor_result,risk,rgb_blur,rgb_left_blur,rgb_right_blur,rgb_occluded,rgb_left_occluded,rgb_right_occluded
0,-0.66,0.4,False,False,False,False,False,False
1,-1.05,0.39,False,False,False,False,False,False
2,-1.34,0.38,False,False,False,False,False,False
3,-1.53,0.38,False,False,False,False,False,False
4,-1.67,0.38,False,False,False,False,False,False
5,-1.79,0.37,False,False,False,False,False,False
6,-1.94,0.37,False,False,False,False,False,False
7,-2.03,0.37,False,False,False,False,False,False
8,-2.14,0.37,False,False,False,False,False,False
9,-2.24,0.36,False,False,False,False,False,False
10,-2.24,0.36,False,False,False,False,False,False
11,-2.23,0.36,False,False,False,False,False,False
